x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.37166000,-0.32794000,0.24566000,0.50540306,-0.49933302,0.49576300,0.49945302,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,1.00669512,-1.88141759,-2.16622466,-1.88141759,5.00372150,0.39549884,-2.16622466,0.39549884,17.21690636
0.37173712,-0.32797770,0.24565957,0.50540437,-0.49932760,0.49577152,0.49944866,300.12523275,0.16151327,-0.05516464,0.16151327,299.69454046,0.19522222,-0.05516464,0.19522222,298.08397391,1.08824992,-1.93057847,-2.01924493,-1.93057847,5.04392830,-0.26209674,-2.01924493,-0.26209674,15.72695515
0.37195155,-0.32806485,0.24565880,0.50540819,-0.49931175,0.49579587,0.49943648,300.27539913,0.31694746,-0.11516695,0.31694746,299.36958328,0.39614254,-0.11516695,0.39614254,296.16153503,1.17795045,-1.97970967,-1.84431211,-1.97970967,5.09520384,-0.92995997,-1.84431211,-0.92995997,14.29925630
0.37227956,-0.32816570,0.24565855,0.50541427,-0.49928623,0.49583374,0.49941824,300.44962742,0.46487503,-0.17905952,0.46487503,299.02346635,0.60332996,-0.17905952,0.60332996,294.23078375,1.27644444,-2.02835552,-1.63824221,-2.02835552,5.15868448,-1.60419368,-1.63824221,-1.60419368,12.95514065
0.37269961,-0.32824857,0.24565977,0.50542242,-0.49925175,0.49588308,0.49939547,300.64671419,0.60370064,-0.24570818,0.60370064,298.65443125,0.81739738,-0.24570818,0.81739738,292.28964186,1.38439031,-2.07600145,-1.39775579,-2.07600145,5.23545733,-2.28039907,-1.39775579,-2.28039907,11.71738293
0.37319217,-0.32828544,0.24566358,0.50543245,-0.49920892,0.49594207,0.49936956,300.86510112,0.73165683,-0.31378181,0.73165683,298.26062759,1.03900074,-0.31378181,1.03900074,290.33586720,1.50244858,-2.12207383,-1.11952796,-2.12207383,5.32651916,-2.95369436,-1.11952796,-2.95369436,10.60990088
0.37373958,-0.32825163,0.24567115,0.50544422,-0.49915830,0.49600905,0.49934171,301.10285607,0.84680250,-0.38174524,0.84680250,297.84011952,1.26883704,-0.38174524,1.26883704,288.36707496,1.63127199,-2.16594095,-0.80024814,-2.16594095,5.43272959,-3.61874815,-0.80024814,-3.61874815,9.65737138
0.37432583,-0.32812547,0.24568377,0.50545760,-0.49910037,0.49608259,0.49931302,301.35765980,0.94702468,-0.44785544,0.94702468,297.39089456,1.50764096,-0.44785544,1.50764096,286.38076613,1.77149442,-2.20691521,-0.43668909,-2.20691521,5.55475933,-4.26982816,-0.43668909,-4.26982816,8.88476473
0.37493642,-0.32788790,0.24570279,0.50547248,-0.49903558,0.49616140,0.49928442,301.62679925,1.03004415,-0.51016212,1.03004415,296.91087477,1.75617972,-0.51016212,1.75617972,284.37436316,1.92371877,-2.24425665,-0.02578407,-2.24425665,5.69303475,-4.90086570,-0.02578407,-4.90086570,8.31680269
0.37555817,-0.32752215,0.24572952,0.50548877,-0.49896429,0.49624432,0.49925676,301.90716874,1.09342509,-0.56651306,1.09342509,296.39793035,2.01524613,-0.56651306,2.01524613,282.34525256,2.08850435,-2.27717757,0.43528969,-2.27717757,5.84768044,-5.50553525,0.43528969,-5.50553525,7.97735060
0.37617900,-0.32701337,0.24576525,0.50550640,-0.49888684,0.49633037,0.49923077,302.19527963,1.13458926,-0.61456496,1.13458926,295.84989547,2.28564960,-0.61456496,2.28564960,280.29083395,2.26635388,-2.30484850,0.94902352,-2.30484850,6.01846194,-6.07734790,0.94902352,-6.07734790,7.88875926
0.37678775,-0.32634831,0.24581108,0.50552532,-0.49880351,0.49641866,0.49920709,302.48727938,1.15083462,-0.65180003,1.15083462,295.26458631,2.56820487,-0.65180003,2.56820487,278.20857450,2.45770091,-2.32640497,1.51748878,-2.32640497,6.20473115,-6.60975639,1.51748878,-6.60975639,8.07117703
0.37737400,-0.32551501,0.24586791,0.50554549,-0.49871455,0.49650842,0.49918628,302.77898017,1.13935861,-0.67554873,1.13935861,294.63982082,2.86371856,-0.67554873,2.86371856,276.09606750,2.66289793,-2.34095515,2.14225072,-2.34095515,6.40537745,-7.09626883,2.14225072,-7.09626883,8.54185721
0.37792796,-0.32450253,0.24593631,0.50556689,-0.49862016,0.49659898,0.49916882,303.06589714,1.09728556,-0.68301845,1.09728556,293.97343987,3.17297338,-0.68301845,3.17297338,273.95109336,2.88220593,-2.34758795,2.82428850,-2.34758795,6.61878758,-7.53056737,2.82428850,-7.53056737,9.31448902
0.37844030,-0.32330076,0.24601648,0.50558949,-0.49852051,0.49668977,0.49915512,303.34329577,1.02169806,-0.67132813,1.02169806,293.26332928,3.49671017,-0.67132813,3.49671017,271.77168100,3.11578597,-2.34538128,3.56392504,-2.34538128,6.84281734,-7.90662772,3.56392504,-7.90662772,10.39858237
0.37890220,-0.32190027,0.24610819,0.50561332,-0.49841575,0.49678029,0.49914554,303.60624760,0.90967157,-0.63754811,0.90967157,292.50744210,3.83560803,-0.63754811,3.83560803,269.55616760,3.36369311,-2.33341009,4.36077063,-2.33341009,7.07477842,-8.21883487,4.36077063,-8.21883487,11.79893701
0.37930536,-0.32029222,0.24621079,0.50563836,-0.49830598,0.49687011,0.49914035,303.84969308,0.75831144,-0.57874451,0.75831144,291.70382038,4.19026271,-0.57874451,4.19026271,267.30325441,3.62587335,-2.31075384,5.21368337,-2.31075384,7.31144268,-8.46209059,5.21368337,-8.46209059,13.51522427
0.37964211,-0.31846829,0.24632315,0.50566465,-0.49819130,0.49695891,0.49913979,304.06850986,0.56479136,-0.49202715,0.56479136,290.85061591,4.56116374,-0.49202715,4.56116374,265.01205638,3.90216377,-2.27650321,6.12074924,-2.27650321,7.54906637,-8.63190851,6.12074924,-8.63190851,15.54170630
0.37990566,-0.31642079,0.24644378,0.50569222,-0.49807177,0.49704638,0.49914406,304.25758461,0.32639231,-0.37459962,0.32639231,289.94610901,4.94867092,-0.37459962,4.94867092,262.68214366,4.19229598,-2.22976552,7.07928338,-2.22976552,7.78343549,-8.72449316,7.07928338,-8.72449316,17.86711134
0.38009035,-0.31414261,0.24657087,0.50572109,-0.49794744,0.49713230,0.49915329,304.41188629,0.04054060,-0.22381025,0.04054060,288.98872488,5.35299049,-0.22381025,5.35299049,260.31357331,4.49590285,-2.16966895,8.08585336,-2.16966895,8.00993302,-8.73680023,8.08585336,-8.73680023,20.47467658
0.38019198,-0.31162744,0.24670235,0.50575131,-0.49781834,0.49721649,0.49916758,304.52653867,-0.29515587,-0.03720233,-0.29515587,287.97704680,5.77415197,-0.03720233,5.77415197,257.90690968,4.81252834,-2.09536534,9.13632392,-2.09536534,8.22362757,-8.66657640,9.13632392,-8.66657640,23.34236157
0.38020812,-0.30886984,0.24683606,0.50578294,-0.49768448,0.49729882,0.49918700,304.59688966,-0.68287443,0.18743790,-0.68287443,286.90982582,6.21198604,0.18743790,6.21198604,255.46323289,5.14163979,-2.00603157,10.22592155,-2.00603157,8.41938233,-8.51237828,10.22592155,-8.51237828,26.44322675
0.38013843,-0.30586549,0.24696983,0.50581603,-0.49754586,0.49737920,0.49921157,304.61857569,-1.12454841,0.45203699,-1.12454841,285.78598649,6.66610435,0.45203699,6.66610435,252.98413489,5.48264229,-1.90086979,11.34931618,-1.90086979,8.59198200,-8.27357117,11.34931618,-8.27357117,29.74596279
0.37998480,-0.30261135,0.24710159,0.50585063,-0.49740248,0.49745759,0.49924129,304.58757890,-1.62184280,0.75819511,-1.62184280,284.60462863,7.13588175,0.75819511,7.13588175,250.47170330,5.83489411,-1.77910674,12.50071648,-1.77910674,8.73627478,-7.95030961,12.50071648,-7.95030961,33.21554968
0.37975152,-0.29910591,0.24722950,0.50588681,-0.49725432,0.49753397,0.49927611,304.50027596,-2.17613518,1.10715316,-2.17613518,283.36502494,7.62044164,1.10715316,7.62044164,247.92849375,6.19772247,-1.63999247,13.67397447,-1.63999247,8.84732574,-7.54350232,13.67397447,-7.54350232,36.81401803
0.37944526,-0.29534935,0.24735202,0.50592464,-0.49710135,0.49760836,0.49931597,304.35347710,-2.78850263,1.49976697,-2.78850263,282.06661489,8.11864481,1.49976697,8.11864481,245.35749166,6.57043871,-1.48279909,14.86269497,-1.48279909,8.92057736,-7.05476523,14.86269497,-7.05476523,40.50128154
