x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.37166000,-0.32794000,0.24566000,0.50540306,-0.49933302,0.49576300,0.49945302,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.94630910,-3.52383421,0.19531330,-3.52383421,24.19692151,-9.36717570,0.19531330,-9.36717570,12.80502257
0.37165998,-0.32793992,0.24565999,0.50540305,-0.49933303,0.49576300,0.49945303,300.02921527,0.00100395,-0.00070583,0.00100395,300.02473321,-0.00002617,-0.00070583,-0.00002617,300.02740476,0.94371632,-3.51636534,0.19549028,-3.51636534,24.19156582,-9.36809802,0.19549028,-9.36809802,12.79488194
0.37165993,-0.32793969,0.24565997,0.50540304,-0.49933305,0.49576299,0.49945304,300.05843623,0.00200616,-0.00141158,0.00200616,300.04946704,-0.00005450,-0.00141158,-0.00005450,300.05481516,0.94112196,-3.50888777,0.19566628,-3.50888777,24.18621840,-9.36901189,0.19566628,-9.36901189,12.78472801
0.37165985,-0.32793931,0.24565993,0.50540301,-0.49933307,0.49576298,0.49945305,300.08766289,0.00300662,-0.00211722,0.00300662,300.07420148,-0.00008500,-0.00211722,-0.00008500,300.08223121,0.93852603,-3.50140155,0.19584129,-3.50140155,24.18087937,-9.36991722,0.19584129,-9.36991722,12.77456086
0.37165973,-0.32793877,0.24565987,0.50540297,-0.49933311,0.49576296,0.49945307,300.11689526,0.00400533,-0.00282277,0.00400533,300.09893652,-0.00011766,-0.00282277,-0.00011766,300.10965287,0.93592857,-3.49390672,0.19601529,-3.49390672,24.17554885,-9.37081396,0.19601529,-9.37081396,12.76438050
0.37165958,-0.32793807,0.24565980,0.50540292,-0.49933316,0.49576293,0.49945310,300.14613332,0.00500230,-0.00352822,0.00500230,300.12367215,-0.00015250,-0.00352822,-0.00015250,300.13708015,0.93332958,-3.48640331,0.19618829,-3.48640331,24.17022695,-9.37170205,0.19618829,-9.37170205,12.75418700
0.37165940,-0.32793723,0.24565971,0.50540286,-0.49933322,0.49576290,0.49945314,300.17537709,0.00599750,-0.00423356,0.00599750,300.14840838,-0.00018952,-0.00423356,-0.00018952,300.16451301,0.93072910,-3.47889137,0.19636027,-3.47889137,24.16491379,-9.37258141,0.19636027,-9.37258141,12.74398040
0.37165919,-0.32793622,0.24565960,0.50540278,-0.49933329,0.49576286,0.49945318,300.20462657,0.00699095,-0.00493879,0.00699095,300.17314517,-0.00022873,-0.00493879,-0.00022873,300.19195146,0.92812715,-3.47137093,0.19653123,-3.47137093,24.15960948,-9.37345198,0.19653123,-9.37345198,12.73376074
0.37165895,-0.32793507,0.24565948,0.50540270,-0.49933337,0.49576282,0.49945322,300.23388175,0.00798264,-0.00564390,0.00798264,300.19788254,-0.00027013,-0.00564390,-0.00027013,300.21939546,0.92552374,-3.46384205,0.19670116,-3.46384205,24.15431415,-9.37431371,0.19670116,-9.37431371,12.72352808
0.37165868,-0.32793376,0.24565935,0.50540260,-0.49933347,0.49576277,0.49945328,300.26314264,0.00897256,-0.00634890,0.00897256,300.22262046,-0.00031372,-0.00634890,-0.00031372,300.24684501,0.92291892,-3.45630475,0.19687004,-3.45630475,24.14902790,-9.37516651,0.19687004,-9.37516651,12.71328245
