x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.37166000,-0.32794000,0.24566000,0.50540306,-0.49933302,0.49576300,0.49945302,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.71927526,-2.51338046,-2.66999992,-2.51338046,14.64073264,12.90254553,-2.66999992,12.90254553,13.02680244
0.37166561,-0.32793463,0.24566120,0.50540388,-0.49933293,0.49575807,0.49945719,300.30142667,-0.00046647,-0.00547341,-0.00046647,300.05206487,-0.04930242,-0.00547341,-0.04930242,300.19175345,0.69024831,-2.43911138,-2.58572458,-2.43911138,14.24468459,12.65605690,-2.58572458,12.65605690,12.78313414
0.37168214,-0.32791817,0.24566474,0.50540629,-0.49933264,0.49574341,0.49946958,300.60309614,-0.00049492,-0.01109790,-0.00049492,300.09992886,-0.09844530,-0.01109790,-0.09844530,300.38467720,0.66141394,-2.36452654,-2.50127279,-2.36452654,13.85004993,12.40724505,-2.50127279,12.40724505,12.53859164
0.37170920,-0.32789009,0.24567049,0.50541025,-0.49933218,0.49571933,0.49948995,300.90500017,-0.00006925,-0.01686664,-0.00006925,300.14347784,-0.14741818,-0.01686664,-0.14741818,300.57876349,0.63280127,-2.28966174,-2.41669400,-2.28966174,13.45714839,12.15616763,-2.41669400,12.15616763,12.29329723
0.37174636,-0.32784991,0.24567835,0.50541568,-0.49933153,0.49568609,0.49951808,301.20713015,0.00082711,-0.02277239,0.00082711,300.18259573,-0.19621017,-0.02277239,-0.19621017,300.77400358,0.60444033,-2.21455422,-2.33203951,-2.21455422,13.06630862,11.90288567,-2.33203951,11.90288567,12.04737780
0.37179323,-0.32779715,0.24568820,0.50542253,-0.49933072,0.49564398,0.49955374,301.50947710,0.00221115,-0.02880752,0.00221115,300.21716447,-0.24480997,-0.02880752,-0.24480997,300.97038776,0.57636206,-2.13924268,-2.24736247,-2.13924268,12.67786796,11.64746366,-2.24736247,11.64746366,11.80096482
0.37184943,-0.32773136,0.24569993,0.50543074,-0.49932973,0.49559327,0.49959673,301.81203165,0.00410031,-0.03496398,0.00410031,300.24706410,-0.29320584,-0.03496398,-0.29320584,301.16790535,0.54859827,-2.06376726,-2.16271786,-2.06376726,12.29217222,11.38996956,-2.16271786,11.38996956,11.55419429
0.37191457,-0.32765210,0.24571343,0.50544026,-0.49932858,0.49553420,0.49964684,302.11478403,0.00651251,-0.04123330,0.00651251,300.27217276,-0.34138561,-0.04123330,-0.34138561,301.36654462,0.52118167,-1.98816954,-2.07816251,-1.98816954,11.90957543,11.13047480,-2.07816251,11.13047480,11.30720674
0.37198827,-0.32755897,0.24572860,0.50545103,-0.49932726,0.49546704,0.49970387,302.41772411,0.00946611,-0.04760657,0.00946611,300.29236678,-0.38933664,-0.04760657,-0.38933664,301.56629286,0.49414582,-1.91249253,-1.99375503,-1.91249253,11.53043955,10.86905434,-1.99375503,10.86905434,11.06014712
0.37207017,-0.32745157,0.24574533,0.50546299,-0.49932577,0.49539202,0.49976763,302.72084132,0.01297992,-0.05407449,0.01297992,300.30752068,-0.43704583,-0.05407449,-0.43704583,301.76713630,0.46752514,-1.83678066,-1.90955589,-1.83678066,11.15513413,10.60578664,-1.90955589,10.60578664,10.81316482
