x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.46283000,-0.20737000,0.24566000,0.50540306,-0.49933302,0.49576300,0.49945302,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,46.23865781,-30.99790138,-1.97599509,-30.99790138,20.94916021,-0.03208464,-1.97599509,-0.03208464,19.98457942
0.46283093,-0.20736062,0.24565977,0.50540444,-0.49933307,0.49576268,0.49945190,298.44427507,-0.68261294,0.20579834,-0.68261294,300.02818294,0.04007193,0.20579834,0.04007193,300.23812261,40.97557357,-29.83822215,-0.91749613,-29.83822215,21.81097819,0.32842450,-0.91749613,0.32842450,19.18695105
0.46283371,-0.20733281,0.24565909,0.50540855,-0.49933320,0.49576174,0.49944855,296.89951399,-1.37446887,0.47247204,-1.37446887,300.06693974,0.10887462,0.47247204,0.10887462,300.45636675,35.47739324,-28.43827957,0.12637740,-28.43827957,22.90874232,0.62304531,0.12637740,0.62304531,18.45417855
0.46283832,-0.20728707,0.24565799,0.50541528,-0.49933341,0.49576021,0.49944304,295.35987469,-2.07564447,0.80838497,-2.07564447,300.11012926,0.20751931,0.80838497,0.20751931,300.64501865,29.89747466,-26.77369295,1.10530126,-26.77369295,24.27224797,0.81621687,1.10530126,0.81621687,17.84134655
0.46284473,-0.20722389,0.24565651,0.50542456,-0.49933370,0.49575811,0.49943545,293.81889489,-2.78531447,1.22115261,-2.78531447,300.15042417,0.33594184,1.22115261,0.33594184,300.79316691,24.41840950,-24.83122307,1.96431690,-24.83122307,25.91641178,0.87261476,1.96431690,0.87261476,17.40615586
0.46285293,-0.20714375,0.24565467,0.50543630,-0.49933406,0.49575546,0.49942583,292.27053526,-3.50137030,1.71674023,-3.50137030,300.18010925,0.49261373,1.71674023,0.49261373,300.88956323,19.23563820,-22.61493219,2.65025554,-22.61493219,27.83187288,0.76256535,2.65025554,0.76256535,17.20145723
0.46286293,-0.20704710,0.24565249,0.50545041,-0.49933450,0.49575230,0.49941426,290.71053041,-4.22006422,2.29845218,-4.22006422,300.19225861,0.67438381,2.29845218,0.67438381,300.92385200,14.53507021,-20.15184593,3.11968303,-20.15184593,29.97598323,0.46818708,3.11968303,0.46818708,17.26637793
0.46287473,-0.20693442,0.24565000,0.50546681,-0.49933500,0.49574865,0.49940077,289.13783363,-4.93576350,2.96595372,-4.93576350,300.18216114,0.87652881,2.96595372,0.87652881,300.88804176,10.46855655,-17.49559650,3.34685750,-17.49559650,32.26655563,-0.01106994,3.34685750,-0.01106994,17.61780532
0.46288834,-0.20680614,0.24564724,0.50548542,-0.49933557,0.49574454,0.49938545,287.55585610,-5.64090022,3.71450097,-5.64090022,300.14875245,1.09305907,3.71450097,1.09305907,300.77798989,7.13265252,-14.72655481,3.32976613,-14.72655481,34.58083088,-0.65506345,3.32976613,-0.65506345,18.24440145
0.46290378,-0.20666272,0.24564422,0.50550618,-0.49933620,0.49573998,0.49936834,285.97319971,-6.32617609,4.53454498,-6.32617609,300.09574291,1.31726538,4.53454498,1.31726538,300.59461241,4.55605867,-11.94752799,3.09249339,-11.94752799,36.76138083,-1.42308852,3.09249339,-1.42308852,19.10502775
0.46292106,-0.20650456,0.24564097,0.50552899,-0.49933689,0.49573500,0.49934951,284.40368085,-6.98103281,5.41181937,-6.98103281,300.03213930,1.54241999,5.41181937,1.54241999,300.34454369,2.69913847,-9.27510411,2.68301918,-9.27510411,38.62918957,-2.25802095,2.68301918,-2.25802095,20.13243102
0.46294023,-0.20633208,0.24563752,0.50555378,-0.49933763,0.49572962,0.49932899,282.86560819,-7.59434399,6.32793345,-7.59434399,299.97194590,1.76248738,6.32793345,1.76248738,300.04005690,1.46562498,-6.82782408,2.16676733,-6.82782408,40.00243832,-3.09395000,2.16676733,-3.09395000,21.24162674
0.46296131,-0.20614569,0.24563388,0.50558049,-0.49933843,0.49572388,0.49930686,281.38044481,-8.15524494,7.26140651,-8.15524494,299.93297287,1.97268069,7.26140651,1.97268069,299.69818782,0.72335596,-4.71313296,1.61733215,-4.71313296,40.71819123,-3.86586661,1.61733215,-3.86586661,22.34117548
0.46298435,-0.20594577,0.24563009,0.50560903,-0.49933928,0.49571778,0.49928316,279.97109240,-8.65400307,8.18902081,-8.65400307,299.93483568,2.16972887,8.18902081,2.16972887,299.33914075,0.32886612,-3.01525443,1.10638296,-3.01525443,40.65364798,-4.51952215,1.10638296,-4.51952215,23.34494648
0.46300939,-0.20573269,0.24562617,0.50563935,-0.49934018,0.49571135,0.49925794,278.66005864,-9.08284191,9.08735101,-9.08284191,299.99636676,2.35178537,9.08735101,2.35178537,298.98416364,0.15043447,-1.78578391,0.69465752,-1.78578391,39.74387033,-5.01964918,0.69465752,-5.01964918,24.18211983
0.46303648,-0.20550681,0.24562213,0.50567138,-0.49934113,0.49570461,0.49923125,277.46772831,-9.43664927,9.93433522,-9.43664927,300.13276728,2.51799021,9.93433522,2.51799021,298.65315064,0.08539847,-1.03817537,0.42539040,-1.03817537,37.99354605,-5.35517482,0.42539040,-5.35517482,24.80386684
0.46306567,-0.20526847,0.24561800,0.50570504,-0.49934212,0.49569758,0.49920313,276.41089570,-9.71351224,10.71076672,-9.71351224,300.35290548,2.66777311,10.71076672,2.66777311,298.36227245,0.06940736,-0.74669126,0.32081033,-0.74669126,35.48105246,-5.54061860,0.32081033,-5.54061860,25.18599575
0.46309701,-0.20501801,0.24561380,0.50574027,-0.49934316,0.49569028,0.49917364,275.50166453,-9.91502218,11.40159070,-9.91502218,300.65721372,2.80004180,11.40159070,2.80004180,298.12195670,0.07709281,-0.84991965,0.38174202,-0.84991965,32.35371717,-5.61340586,0.38174202,-5.61340586,25.32758038
0.46313058,-0.20475575,0.24560954,0.50577702,-0.49934424,0.49568274,0.49914282,274.74678928,-10.04629257,11.99688652,-10.04629257,301.03662826,2.91243349,11.99688652,2.91243349,297.93553862,0.11507372,-1.25856341,0.58995170,-1.25856341,28.81395735,-5.62735206,0.58995170,-5.62735206,25.24612684
0.46316641,-0.20448197,0.24560525,0.50581521,-0.49934537,0.49567496,0.49911072,274.14750322,-10.11564670,12.49241681,-10.11564670,301.47291821,3.00081498,12.49241681,3.00081498,297.79885474,0.20931018,-1.86671350,0.91262766,-1.86671350,25.09721056,-5.64316030,0.91262766,-5.64316030,24.97024690
0.46320458,-0.20419696,0.24560094,0.50585479,-0.49934653,0.49566697,0.49907737,273.69983307,-10.13397344,12.88965039,-10.13397344,301.94053854,3.05919116,12.88965039,3.05919116,297.70093754,0.38966691,-2.56517013,1.30819897,-2.56517013,21.44429483,-5.71742478,1.30819897,-5.71742478,24.53116948
0.46324515,-0.20390100,0.24559662,0.50589570,-0.49934773,0.49565880,0.49904282,273.39533021,-10.11381411,13.19522750,-10.11381411,302.40983483,3.08011686,13.19522750,3.08011686,297.62578130,0.67506437,-3.25472739,1.73254343,-3.25472739,18.07260852,-5.89218058,1.73254343,-5.89218058,23.95469748
0.46328818,-0.20359433,0.24559232,0.50593788,-0.49934897,0.49565045,0.49900712,273.22207003,-10.06831000,13.41992515,-10.06831000,302.85109960,3.05560429,13.41992515,3.05560429,297.55492362,1.06253398,-3.85702391,2.14458019,-3.85702391,15.15157382,-6.18719111,2.14458019,-6.18719111,23.25526143
