x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.36845000,-0.07430000,0.29700000,0.00000000,0.00000000,0.00000000,199.10984777,-0.31152096,0.66635713,-0.31152096,198.17407772,2.29538122,0.66635713,2.29538122,197.92619895,114.55129225,-19.05827791,-122.20883169,-19.05827791,10.50679030,44.41388180,-122.20883169,44.41388180,226.78885128
0.36845015,-0.07430002,0.29700000,0.00030769,-0.00003180,-0.00000532,199.10355094,-0.31372599,0.67088774,-0.31372599,198.16098476,2.31193288,0.67088774,2.31193288,197.91156976,114.53315932,-19.06277303,-122.19725699,-19.06277303,10.49983733,44.39981483,-122.19725699,44.39981483,226.75281871
0.36845061,-0.07430007,0.29699999,0.00061478,-0.00006083,-0.00001031,199.09604587,-0.31635406,0.67629212,-0.31635406,198.14538394,2.33165289,0.67629212,2.33165289,197.89413310,114.51157639,-19.06812573,-122.18348271,-19.06812573,10.49154129,44.38305521,-122.18348271,44.38305521,226.70991822
0.36845138,-0.07430014,0.29699998,0.00092124,-0.00008712,-0.00001497,199.08735346,-0.31939787,0.68255378,-0.31939787,198.12731729,2.35448878,0.68255378,2.35448878,197.87393774,114.48659397,-19.07432276,-122.16754026,-19.07432276,10.48192794,44.36364728,-122.16754026,44.36364728,226.66025409
0.36845245,-0.07430024,0.29699996,0.00122707,-0.00011067,-0.00001929,199.07749463,-0.32285012,0.68965621,-0.32285012,198.10682684,2.38038812,0.68965621,2.38038812,197.85103243,114.45826260,-19.08135084,-122.14946106,-19.08135084,10.47102305,44.34163538,-122.14946106,44.34163538,226.60393063
0.36845383,-0.07430036,0.29699994,0.00153225,-0.00013148,-0.00002328,199.06649028,-0.32670349,0.69758291,-0.32670349,198.08395463,2.40929844,0.69758291,2.40929844,197.82546595,114.42663279,-19.08919673,-122.12927653,-19.08919673,10.45885237,44.31706386,-122.12927653,44.31706386,226.54105213
0.36845552,-0.07430050,0.29699991,0.00183677,-0.00014958,-0.00002694,199.05436132,-0.33095069,0.70631738,-0.33095069,198.05874268,2.44116728,0.70631738,2.44116728,197.79728705,114.39175507,-19.09784717,-122.10701810,-19.09784717,10.44544168,44.28997704,-122.10701810,44.28997704,226.47172290
0.36845751,-0.07430066,0.29699988,0.00214063,-0.00016497,-0.00003027,199.04112865,-0.33558441,0.71584312,-0.33558441,198.03123302,2.47594219,0.71584312,2.47594219,197.76654449,114.35367996,-19.10728890,-122.08271717,-19.10728890,10.43081673,44.26041927,-122.08271717,44.26041927,226.39604723
0.36845980,-0.07430083,0.29699985,0.00244382,-0.00017767,-0.00003326,199.02681317,-0.34059736,0.72614363,-0.34059736,198.00146768,2.51357071,0.72614363,2.51357071,197.73328704,114.31245798,-19.11750866,-122.05640518,-19.11750866,10.41500329,44.22843490,-122.05640518,44.22843490,226.31412942
0.36846240,-0.07430101,0.29699982,0.00274631,-0.00018767,-0.00003593,199.01143580,-0.34598221,0.73720240,-0.34598221,197.96948869,2.55400039,0.73720240,2.55400039,197.69756347,114.26813965,-19.12849320,-122.02811353,-19.12849320,10.39802713,44.19406827,-122.02811353,44.19406827,226.22607378
