x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.36845000,-0.07430000,0.29700000,0.00000000,0.00000000,0.00000000,199.65267802,0.09476232,0.35765856,0.09476232,199.72711467,0.63374793,0.35765856,0.63374793,198.94011991,27.68611408,-28.15460760,-52.56966007,-28.15460760,28.78814816,54.51636217,-52.56966007,54.51636217,183.10879301
0.36845016,-0.07430002,0.29700000,0.00031544,-0.00004586,-0.00000144,199.65018290,0.09549537,0.36010617,0.09549537,199.72518245,0.63830682,0.36010617,0.63830682,198.93287256,27.68441069,-28.15795410,-52.56496346,-28.15795410,28.79706457,54.50912644,-52.56496346,54.50912644,183.06187906
0.36845063,-0.07430009,0.29700000,0.00062998,-0.00008955,-0.00000248,199.64720994,0.09636754,0.36302548,0.09636754,199.72287960,0.64373864,0.36302548,0.64373864,198.92422893,27.68238386,-28.16193827,-52.55937426,-28.16193827,28.80766244,54.50050316,-52.55937426,54.50050316,183.00602050
0.36845142,-0.07430020,0.29699999,0.00094362,-0.00013109,-0.00000310,199.64376712,0.09737692,0.36640770,0.09737692,199.72021252,0.65002884,0.36640770,0.65002884,198.91421500,27.68003813,-28.16655048,-52.55290524,-28.16655048,28.81992168,54.49051595,-52.55290524,54.49051595,182.94135394
0.36845252,-0.07430035,0.29699999,0.00125634,-0.00017047,-0.00000332,199.63986242,0.09852156,0.37024402,0.09852156,199.71718757,0.65716289,0.37024402,0.65716289,198.90285671,27.67737805,-28.17178112,-52.54556917,-28.17178112,28.83382221,54.47918840,-52.54556917,54.47918840,182.86801602
0.36845393,-0.07430054,0.29699999,0.00156815,-0.00020771,-0.00000313,199.63550382,0.09979954,0.37452565,0.09979954,199.71381114,0.66512628,0.37452565,0.66512628,198.89018003,27.67440815,-28.17762056,-52.53737883,-28.17762056,28.84934392,54.46654414,-52.53737883,54.46654414,182.78614339
0.36845565,-0.07430077,0.29699998,0.00187903,-0.00024279,-0.00000253,199.63069930,0.10120891,0.37924380,0.10120891,199.71008960,0.67390446,0.37924380,0.67390446,198.87621091,27.67113299,-28.18405919,-52.52834700,-28.18405919,28.86646674,54.45260678,-52.52834700,54.45260678,182.69587267
0.36845769,-0.07430103,0.29699998,0.00218899,-0.00027573,-0.00000153,199.62545684,0.10274775,0.38438968,0.10274775,199.70602935,0.68348290,0.38438968,0.68348290,198.86097531,27.66755709,-28.19108737,-52.51848644,-28.19108737,28.88517058,54.43739991,-52.51848644,54.43739991,182.59734049
0.36846003,-0.07430132,0.29699998,0.00249801,-0.00030653,-0.00000013,199.61978442,0.10441413,0.38995449,0.10441413,199.70163675,0.69384708,0.38995449,0.69384708,198.84449919,27.66368500,-28.19869549,-52.50780993,-28.19869549,28.90543534,54.42094715,-52.50780993,54.42094715,182.49068350
0.36846268,-0.07430164,0.29699998,0.00280609,-0.00033520,0.00000168,199.61369003,0.10620610,0.39592944,0.10620610,199.69691818,0.70498246,0.39592944,0.70498246,198.82680851,27.65952127,-28.20687393,-52.49633024,-28.20687393,28.92724094,54.40327210,-52.49633024,54.40327210,182.37603833
0.36846564,-0.07430199,0.29699999,0.00311323,-0.00036173,0.00000388,199.60718164,0.10812173,0.40230573,0.10812173,199.69188004,0.71687451,0.40230573,0.71687451,198.80792923,27.65507044,-28.21561307,-52.48406015,-28.21561307,28.95056729,54.38439839,-52.48406015,54.38439839,182.25354161
0.36846891,-0.07430236,0.29699999,0.00341942,-0.00038613,0.00000648,199.60026723,0.11015910,0.40907457,0.11015910,199.68652869,0.72950870,0.40907457,0.72950870,198.78788730,27.65033705,-28.22490329,-52.47101243,-28.22490329,28.97539430,54.36434960,-52.47101243,54.36434960,182.12332998
0.36847248,-0.07430276,0.29700000,0.00372466,-0.00040840,0.00000948,199.59295480,0.11231626,0.41622716,0.11231626,199.68087052,0.74287050,0.41622716,0.74287050,198.76670868,27.64532564,-28.23473496,-52.45719986,-28.23473496,29.00170188,54.34314937,-52.45719986,54.34314937,181.98554007
0.36847636,-0.07430318,0.29700001,0.00402893,-0.00042855,0.00001288,199.58525231,0.11459128,0.42375471,0.11459128,199.67491191,0.75694538,0.42375471,0.75694538,198.74441933,27.64004075,-28.24509847,-52.44263520,-28.24509847,29.02946995,54.32082128,-52.44263520,54.32082128,181.84030851
0.36848054,-0.07430362,0.29700002,0.00433224,-0.00044658,0.00001666,199.57716774,0.11698223,0.43164843,0.11698223,199.66865923,0.77171881,0.43164843,0.77171881,198.72104520,27.63448693,-28.25598419,-52.42733124,-28.25598419,29.05867841,54.29738896,-52.42733124,54.29738896,181.68777195
0.36848502,-0.07430407,0.29700004,0.00463457,-0.00046249,0.00002084,199.56870909,0.11948718,0.43989952,0.11948718,199.66211887,0.78717626,0.43989952,0.78717626,198.69661227,27.62866871,-28.26738250,-52.41130074,-28.26738250,29.08930717,54.27287601,-52.41130074,54.27287601,181.52806701
0.36848981,-0.07430454,0.29700007,0.00493593,-0.00047629,0.00002541,199.55988433,0.12210419,0.44849919,0.12210419,199.65529721,0.80330319,0.44849919,0.80330319,198.67114647,27.62259065,-28.27928379,-52.39455648,-28.27928379,29.12133615,54.24730604,-52.39455648,54.24730604,181.36133033
0.36849489,-0.07430502,0.29700009,0.00523631,-0.00048798,0.00003037,199.55070143,0.12483133,0.45743864,0.12483133,199.64820062,0.82008508,0.45743864,0.82008508,198.64467378,27.61625727,-28.29167843,-52.37711123,-28.29167843,29.15474525,54.22070266,-52.37711123,54.22070266,181.18769854
0.36850028,-0.07430552,0.29700013,0.00553570,-0.00049757,0.00003572,199.54116839,0.12766666,0.46670908,0.12766666,199.64083549,0.83750739,0.46670908,0.83750739,198.61722014,27.60967314,-28.30455679,-52.35897777,-28.30455679,29.18951440,54.19308948,-52.35897777,54.19308948,181.00730829
0.36850597,-0.07430602,0.29700017,0.00583409,-0.00050505,0.00004146,199.53129318,0.13060825,0.47630172,0.13060825,199.63320820,0.85555560,0.47630172,0.85555560,198.58881152,27.60284277,-28.31790927,-52.34016887,-28.31790927,29.22562349,54.16449010,-52.34016887,54.16449010,180.82029620
0.36851195,-0.07430652,0.29700021,0.00613149,-0.00051043,0.00004758,199.52108379,0.13365416,0.48620775,0.13365416,199.62532512,0.87421516,0.48620775,0.87421516,198.55947388,27.59577073,-28.33172623,-52.32069731,-28.33172623,29.26305244,54.13492814,-52.32069731,54.13492814,180.62679890
0.36851823,-0.07430704,0.29700026,0.00642789,-0.00051371,0.00005408,199.51054855,0.13680238,0.49641800,0.13680238,199.61719292,0.89347091,0.49641800,0.89347091,198.52923434,27.58846175,-28.34599762,-52.30057642,-28.34599762,29.30178030,54.10442830,-52.30057642,54.10442830,180.42695926
0.36852480,-0.07430755,0.29700032,0.00672327,-0.00051490,0.00006097,199.49969724,0.14005054,0.50692167,0.14005054,199.60881942,0.91330502,0.50692167,0.91330502,198.49812466,27.58092139,-28.36071163,-52.27982185,-28.36071163,29.34178266,54.07301966,-52.27982185,54.07301966,180.22094498
0.36853167,-0.07430807,0.29700038,0.00701764,-0.00051401,0.00006824,199.48854001,0.14339618,0.51770758,0.14339618,199.60021270,0.93369905,0.51770758,0.93369905,198.46617779,27.57315540,-28.37585602,-52.25844981,-28.37585602,29.38303424,54.04073238,-52.25844981,54.04073238,180.00892998
0.36853884,-0.07430858,0.29700046,0.00731100,-0.00051102,0.00007588,199.47708699,0.14683685,0.52876454,0.14683685,199.59138086,0.95463454,0.52876454,0.95463454,198.43342667,27.56516955,-28.39141852,-52.23647651,-28.39141852,29.42550977,54.00759666,-52.23647651,54.00759666,179.79108820
0.36854630,-0.07430909,0.29700054,0.00760333,-0.00050595,0.00008390,199.46534833,0.15037009,0.54008137,0.15037009,199.58233200,0.97609301,0.54008137,0.97609301,198.39990423,27.55696958,-28.40738691,-52.21391816,-28.40738691,29.46918397,53.97364264,-52.21391816,53.97364264,179.56759356
0.36855404,-0.07430959,0.29700062,0.00789463,-0.00049881,0.00009230,199.45333416,0.15399346,0.55164690,0.15399346,199.57307421,0.99805602,0.55164690,0.99805602,198.36564341,27.54856127,-28.42374892,-52.19079096,-28.42374892,29.51403157,53.93890052,-52.19079096,53.93890052,179.33861998
0.36856208,-0.07431008,0.29700072,0.00818491,-0.00048958,0.00010107,199.44105463,0.15770449,0.56344992,0.15770449,199.56361558,1.02050511,0.56344992,1.02050511,198.33067715,27.53995035,-28.44049231,-52.16711113,-28.44049231,29.56002729,53.90340046,-52.16711113,53.90340046,179.10434140
0.36857041,-0.07431057,0.29700083,0.00847415,-0.00047829,0.00011022,199.42851986,0.16150073,0.57547927,0.16150073,199.55396422,1.04342181,0.57547927,1.04342181,198.29503839,27.53114260,-28.45760483,-52.14289488,-28.45760483,29.60714586,53.86717263,-52.14289488,53.86717263,178.86493174
0.36857903,-0.07431104,0.29700094,0.00876234,-0.00046492,0.00011973,199.41574002,0.16537972,0.58772375,0.16537972,199.54412821,1.06678767,0.58772375,1.06678767,198.25876006,27.52214377,-28.47507424,-52.11815842,-28.47507424,29.65536201,53.83024721,-52.11815842,53.83024721,178.62056493
0.36858794,-0.07431150,0.29700107,0.00904950,-0.00044949,0.00012962,199.40272522,0.16933902,0.60017219,0.16933902,199.53411566,1.09058422,0.60017219,1.09058422,198.22187510,27.51295962,-28.49288828,-52.09291795,-28.49288828,29.70465046,53.79265437,-52.09291795,53.79265437,178.37141489
0.36859713,-0.07431194,0.29700120,0.00933560,-0.00043199,0.00013987,199.38948543,0.17337622,0.61281361,0.17337622,199.52393449,1.11479338,0.61281361,1.11479338,198.18441579,27.50359578,-28.51103495,-52.06718937,-28.51103495,29.75498650,53.75442373,-52.06718937,53.75442373,178.11765221
0.36860661,-0.07431236,0.29700134,0.00962065,-0.00041244,0.00015049,199.37602976,0.17748910,0.62563793,0.17748910,199.51359198,1.13939850,0.62563793,1.13939850,198.14641175,27.49405743,-28.52950317,-52.04098725,-28.52950317,29.80634766,53.71558273,-52.04098725,53.71558273,177.85943411
0.36861637,-0.07431276,0.29700150,0.00990465,-0.00039082,0.00016147,199.36236717,0.18167551,0.63863526,0.18167551,199.50309527,1.16438331,0.63863526,1.16438331,198.10789198,27.48434963,-28.54828211,-52.01432588,-28.54828211,29.85871204,53.67615824,-52.01432588,53.67615824,177.59691448
0.36862642,-0.07431314,0.29700167,0.01018758,-0.00036716,0.00017281,199.34850660,0.18593328,0.65179572,0.18593328,199.49245146,1.18973154,0.65179572,1.18973154,198.06888543,27.47447742,-28.56736091,-51.98721950,-28.56736091,29.91205774,53.63617714,-51.98721950,53.63617714,177.33024720
