x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.55000000,0.00000000,0.30000000,0.00047519,0.00073159,0.00006753,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,41.48973834,-31.01866885,28.85580156,-31.01866885,24.23804348,-23.48908722,28.85580156,-23.48908722,37.89816518
0.55000475,0.00000732,0.30000068,0.00094007,0.00147284,0.00013244,299.89215779,-0.08762550,-0.30861953,-0.08762550,300.14302195,-0.05856338,-0.30861953,-0.05856338,299.38739741,41.29247376,-30.75762459,28.72468173,-30.75762459,23.94804675,-23.25141302,28.72468173,-23.25141302,37.53039323
0.55001880,0.00002946,0.30000265,0.00185461,0.00296920,0.00025838,299.77907241,-0.17719429,-0.61892935,-0.17719429,300.28362340,-0.11746531,-0.61892935,-0.11746531,298.77741667,41.09226621,-30.49338222,28.59167918,-30.49338222,23.65544858,-23.01122891,28.59167918,-23.01122891,37.16293737
0.55004184,0.00006670,0.30000584,0.00273908,0.00449247,0.00037664,299.66062849,-0.26874518,-0.93094391,-0.26874518,300.42173761,-0.17669108,-0.93094391,-0.17669108,298.17009345,40.88910840,-30.22596819,28.45679283,-30.22596819,23.36032036,-22.76857687,28.45679283,-22.76857687,36.79604856
0.55007358,0.00011931,0.30001018,0.00359413,0.00604101,0.00048739,299.53670909,-0.36231738,-1.24467723,-0.36231738,300.55729674,-0.23622505,-1.24467723,-0.23622505,297.56546307,40.68299443,-29.95541185,28.32002267,-29.95541185,23.06273733,-22.52350176,28.32002267,-22.52350176,36.42998514
0.55011373,0.00018752,0.30001559,0.00442035,0.00761319,0.00059080,299.40719562,-0.45795049,-1.56014296,-0.45795049,300.69023188,-0.29605066,-1.56014296,-0.29605066,296.96356047,40.47391986,-29.68174549,28.18136975,-29.68174549,22.76277860,-22.27605143,28.18136975,-22.27605143,36.06501267
0.55016199,0.00027157,0.30002200,0.00521830,0.00920744,0.00068703,299.27196797,-0.55568444,-1.87735427,-0.55568444,300.82047308,-0.35615040,-1.87735427,-0.35615040,296.36442018,40.26188171,-29.40500441,28.04083619,-29.40500441,22.46052715,-22.02627667,28.04083619,-22.02627667,35.70140376
0.55021809,0.00037167,0.30002933,0.00598844,0.01082221,0.00077625,299.13090448,-0.65555954,-2.19632391,-0.65555954,300.94794936,-0.41650577,-2.19632391,-0.41650577,295.76807634,40.04687851,-29.12522696,27.89842523,-29.12522696,22.15606984,-21.77423129,27.89842523,-21.77423129,35.33943791
0.55028176,0.00048801,0.30003752,0.00673120,0.01245597,0.00085862,298.98388202,-0.75761638,-2.51706408,-0.75761638,301.07258877,-0.47709726,-2.51706408,-0.47709726,295.17456263,39.82891035,-28.84245457,27.75414125,-28.84245457,21.84949736,-21.51997211,27.75414125,-21.51997211,34.97940122
0.55035272,0.00062079,0.30004650,0.00744696,0.01410724,0.00093432,298.83077601,-0.86189585,-2.83958652,-0.86189585,301.19431841,-0.53790437,-2.83958652,-0.53790437,294.58391231,39.60797891,-28.55673178,27.60798977,-28.55673178,21.54090428,-21.26355897,27.60798977,-21.26355897,34.62158620
